nam_hoc,mon_hoc,diem,so_hoc_sinh
2020,dia_li,6.0,32385
2020,dia_li,6.25,38390
2020,dia_li,6.5,43777
2020,dia_li,6.75,47809
2020,dia_li,7.0,50227
2020,dia_li,7.25,50634
2020,dia_li,7.5,47136
2020,dia_li,7.75,40978
2020,dia_li,8.0,32468
2020,dia_li,8.25,23505
2020,dia_li,8.5,15410
2020,dia_li,8.75,9106
2020,dia_li,9.0,5111
2020,dia_li,9.25,2721
2020,dia_li,9.5,1516
2020,dia_li,9.75,765
2020,dia_li,10.0,251
2021,dia_li,0.0,92
2021,dia_li,0.25,1
2021,dia_li,0.5,3
2021,dia_li,0.75,9
2021,dia_li,1.0,11
2021,dia_li,1.25,26
2021,dia_li,1.5,40
2021,dia_li,1.75,66
2021,dia_li,2.0,129
2021,dia_li,2.25,224
2021,dia_li,2.5,352
2021,dia_li,2.75,511
2021,dia_li,3.0,707
2021,dia_li,3.25,999
2021,dia_li,3.5,1442
2021,dia_li,3.75,1895
2021,dia_li,4.0,2677
2021,dia_li,4.25,3727
2021,dia_li,4.5,5454
2021,dia_li,4.75,7746
2021,dia_li,5.0,10673
2021,dia_li,5.25,14762
2021,dia_li,5.5,19577
2021,dia_li,5.75,25299
2021,dia_li,6.0,31778
2021,dia_li,6.25,37808
2021,dia_li,6.5,42927
2021,dia_li,6.75,48182
2021,dia_li,7.0,50454
2021,dia_li,7.25,50451
2021,dia_li,7.5,47811
2021,dia_li,7.75,42505
2021,dia_li,8.0,36662
2021,dia_li,8.25,29882
2021,dia_li,8.5,22727
2021,dia_li,8.75,16441
2021,dia_li,9.0,11066
2021,dia_li,9.25,6572
2021,dia_li,9.5,3597
2021,dia_li,9.75,1384
2021,dia_li,10.0,209
2022,dia_li,0.0,21
2022,dia_li,0.25,3
2022,dia_li,0.5,3
2022,dia_li,0.75,7
2022,dia_li,1.0,4
2022,dia_li,1.25,10
2022,dia_li,1.5,36
2022,dia_li,1.75,75
2022,dia_li,2.0,135
2022,dia_li,2.25,210
2022,dia_li,2.5,405
2022,dia_li,2.75,610
2022,dia_li,3.0,867
2022,dia_li,3.25,1413
2022,dia_li,3.5,2194
2022,dia_li,3.75,3350
2022,dia_li,4.0,5062
2022,dia_li,4.25,7546
2022,dia_li,4.5,10907
2022,dia_li,4.75,15127
2022,dia_li,5.0,20364
2022,dia_li,5.25,26111
2022,dia_li,5.5,32256
2022,dia_li,5.75,38481
2022,dia_li,6.0,44464
2022,dia_li,6.25,48253
2022,dia_li,6.5,50888
2022,dia_li,6.75,52272
2022,dia_li,7.0,52448
2022,dia_li,7.25,49164
2022,dia_li,7.5,45213
2022,dia_li,7.75,39556
2022,dia_li,8.0,33014
2022,dia_li,8.25,26025
2022,dia_li,8.5,19697
2022,dia_li,8.75,13878
2022,dia_li,9.0,8784
2022,dia_li,9.25,5223
2022,dia_li,9.5,2394
2022,dia_li,9.75,788
2022,dia_li,10.0,163
2023,dia_li,0.0,80
2023,dia_li,0.5,2
2023,dia_li,0.75,10
2023,dia_li,1.0,20
2023,dia_li,1.25,35
2023,dia_li,1.5,68
2023,dia_li,1.75,151
2023,dia_li,2.0,285
2023,dia_li,2.25,514
2023,dia_li,2.5,873
2023,dia_li,2.75,1350
2023,dia_li,3.0,2120
2023,dia_li,3.25,3214
2023,dia_li,3.5,4693
2023,dia_li,3.75,7094
2023,dia_li,4.0,10230
2023,dia_li,4.25,14417
2023,dia_li,4.5,19760
2023,dia_li,4.75,26157
2023,dia_li,5.0,33417
2023,dia_li,5.25,41583
2023,dia_li,5.5,49235
2023,dia_li,5.75,55449
2023,dia_li,6.0,59360
2023,dia_li,6.25,60795
2023,dia_li,6.5,58418
2023,dia_li,6.75,53029
2023,dia_li,7.0,45992
2023,dia_li,7.25,37319
2023,dia_li,7.5,29288
2023,dia_li,7.75,21874
2023,dia_li,8.0,15806
2023,dia_li,8.25,11035
2023,dia_li,8.5,7564
2023,dia_li,8.75,4964
2023,dia_li,9.0,3108
2023,dia_li,9.25,1706
2023,dia_li,9.5,825
2023,dia_li,9.75,259
2023,dia_li,10.0,35
2024,dia_li,0.0,59
2024,dia_li,0.25,2
2024,dia_li,0.5,1
2024,dia_li,0.75,2
2024,dia_li,1.0,13
2024,dia_li,1.25,24
2024,dia_li,1.5,52
2024,dia_li,1.75,75
2024,dia_li,2.0,141
2024,dia_li,2.25,249
2024,dia_li,2.5,374
2024,dia_li,2.75,587
2024,dia_li,3.0,878
2024,dia_li,3.25,1211
2024,dia_li,3.5,1764
2024,dia_li,3.75,2422
2024,dia_li,4.0,3304
2024,dia_li,4.25,4558
2024,dia_li,4.5,6373
2024,dia_li,4.75,8658
2024,dia_li,5.0,11616
2024,dia_li,5.25,15404
2024,dia_li,5.5,20212
2024,dia_li,5.75,26101
2024,dia_li,6.0,32569
2024,dia_li,6.25,38599
2024,dia_li,6.5,44920
2024,dia_li,6.75,50251
2024,dia_li,7.0,53350
2024,dia_li,7.25,55594
2024,dia_li,7.5,54671
2024,dia_li,7.75,52133
2024,dia_li,8.0,47364
2024,dia_li,8.25,41702
2024,dia_li,8.5,35562
2024,dia_li,8.75,29067
2024,dia_li,9.0,23265
2024,dia_li,9.25,18112
2024,dia_li,9.5,12621
2024,dia_li,9.75,7647
2024,dia_li,10.0,3175
2025,dia_li,0.0,13
2025,dia_li,0.25,4
2025,dia_li,0.5,1
2025,dia_li,0.6,1
2025,dia_li,0.75,3
2025,dia_li,0.85,2
2025,dia_li,0.95,3
2025,dia_li,1.0,5
2025,dia_li,1.05,2
2025,dia_li,1.1,4
2025,dia_li,1.2,8
2025,dia_li,1.25,13
2025,dia_li,1.3,2
2025,dia_li,1.35,16
2025,dia_li,1.4,1
2025,dia_li,1.45,18
2025,dia_li,1.5,38
2025,dia_li,1.55,11
2025,dia_li,1.6,59
2025,dia_li,1.65,2
2025,dia_li,1.7,58
2025,dia_li,1.75,64
2025,dia_li,1.8,23
2025,dia_li,1.85,122
2025,dia_li,1.9,1
2025,dia_li,1.95,118
2025,dia_li,2.0,128
2025,dia_li,2.05,36
2025,dia_li,2.1,271
2025,dia_li,2.15,4
2025,dia_li,2.2,200
2025,dia_li,2.25,252
2025,dia_li,2.3,51
2025,dia_li,2.35,514
2025,dia_li,2.4,3
2025,dia_li,2.45,331
2025,dia_li,2.5,450
2025,dia_li,2.55,67
2025,dia_li,2.6,838
2025,dia_li,2.65,7
2025,dia_li,2.7,491
2025,dia_li,2.75,805
2025,dia_li,2.8,72
2025,dia_li,2.85,1330
2025,dia_li,2.9,5
2025,dia_li,2.95,677
2025,dia_li,3.0,1308
2025,dia_li,3.05,94
2025,dia_li,3.1,1949
2025,dia_li,3.15,4
2025,dia_li,3.2,843
2025,dia_li,3.25,1895
2025,dia_li,3.3,95
2025,dia_li,3.35,2606
2025,dia_li,3.4,5
2025,dia_li,3.45,1107
2025,dia_li,3.5,2691
2025,dia_li,3.55,95
2025,dia_li,3.6,3506
2025,dia_li,3.65,2
2025,dia_li,3.7,1233
2025,dia_li,3.75,3443
2025,dia_li,3.8,103
2025,dia_li,3.85,4206
2025,dia_li,3.9,1
2025,dia_li,3.95,1507
2025,dia_li,4.0,4638
2025,dia_li,4.05,107
2025,dia_li,4.1,5002
2025,dia_li,4.15,2
2025,dia_li,4.2,1579
2025,dia_li,4.25,5434
2025,dia_li,4.3,93
2025,dia_li,4.35,5989
2025,dia_li,4.4,4
2025,dia_li,4.45,1703
2025,dia_li,4.5,6709
2025,dia_li,4.55,87
2025,dia_li,4.6,6665
2025,dia_li,4.7,1636
2025,dia_li,4.75,7920
2025,dia_li,4.8,75
2025,dia_li,4.85,7258
2025,dia_li,4.95,1691
2025,dia_li,5.0,8974
2025,dia_li,5.05,64
2025,dia_li,5.1,7882
2025,dia_li,5.2,1578
2025,dia_li,5.25,10314
2025,dia_li,5.3,40
2025,dia_li,5.35,8095
2025,dia_li,5.45,1485
2025,dia_li,5.5,11289
2025,dia_li,5.55,42
2025,dia_li,5.6,7992
2025,dia_li,5.7,1264
2025,dia_li,5.75,12821
2025,dia_li,5.8,29
2025,dia_li,5.85,8185
2025,dia_li,5.95,1103
2025,dia_li,6.0,13711
2025,dia_li,6.05,25
2025,dia_li,6.1,8035
2025,dia_li,6.2,914
2025,dia_li,6.25,15061
2025,dia_li,6.3,6
2025,dia_li,6.35,7691
2025,dia_li,6.45,716
2025,dia_li,6.5,16149
2025,dia_li,6.55,4
2025,dia_li,6.6,7183
2025,dia_li,6.7,532
2025,dia_li,6.75,17125
2025,dia_li,6.85,6638
2025,dia_li,6.95,303
2025,dia_li,7.0,17934
2025,dia_li,7.1,5658
2025,dia_li,7.2,187
2025,dia_li,7.25,18483
2025,dia_li,7.35,4742
2025,dia_li,7.45,105
2025,dia_li,7.5,18844
2025,dia_li,7.6,3847
2025,dia_li,7.7,38
2025,dia_li,7.75,18876
2025,dia_li,7.85,2878
2025,dia_li,7.95,18
2025,dia_li,8.0,18749
2025,dia_li,8.1,2030
2025,dia_li,8.2,2
2025,dia_li,8.25,18278
2025,dia_li,8.35,1357
2025,dia_li,8.5,17777
2025,dia_li,8.6,795
2025,dia_li,8.75,17125
2025,dia_li,8.85,458
2025,dia_li,9.0,15859
2025,dia_li,9.1,254
2025,dia_li,9.25,13823
2025,dia_li,9.5,12323
2025,dia_li,9.75,6460
2025,dia_li,10.0,7022
